Lot #,Vehicle ID,Tow Reference ,Year,Make,Model,VIN,Reason,K,Comments
305,2601504,9319,2000,DODGE,CARAVAN,2B4GP45G3YR771462,ABANDONED, ,
306,2601545,9320,1992,LEXUS,SC 400,JT8UZ30C6N0014641,ACCIDENT,K,
307,2601258,9309,2003,MERCEDES,CLK-CLASS,WDBTJ76H03F051210,ACCIDENT, ,
308,2601056,9305,1997,GMC,SAFARI,1GDDM19W5VB547873,ABANDONED, ,
309,2614128,10001,2007,FORD,TAURUS,1FAFP53U17A122832,ACCIDENT, ,
310,2601171,9306,2002,NISSAN,MAXIMA,JN1DA31D82T200081,ARREST,K,STARTS 
311,2600902,9297,2000,CHEVROLET,IMPALA,2G1WH55K4Y9173816,ACCIDENT, ,
312,2605222,9537,1996,HONDA,CIVIC,1HGEJ8143TL008956,ILLEGALLY PARKED, ,
313,2609846,9747,2003,FORD,EXPLORER,1FMYU60E73UA49324,ABANDONED, ,
314,2600519,9281,2009,NISSAN,ALTIMA,1N4AL21E69N418568,ACCIDENT, ,
315,2593919,8968,2001,MAZDA,PROTEGE,JM1BJ225310476299,ARREST,K,
316,2610665,9788,2005,CHEVROLET,CAVALIER,1G1JH12F657174070,ABANDONED, ,
317,2582117,8389,2004,FORD,F150,2FTRF07214CA06904,ACCIDENT, ,
318,2599352,9226,1994,CHEVROLET,C-1500,1GCEC14K7RE126483,ARREST,K,
319,2599594,900671,-,TRAILER-GENERIC,TRAILER,464UT1212SF000175,LOAD VEHICLE/PARTS, ,
320,2608587,9705,2016,CHRYSLER,300,2C3CCAEG7GH243489,ACCIDENT, ,
321,2605433,9550,1983,PORSCHE,944,WP0AA0940DN452840,OTHER, ,
322,2612419,9880,2004,NISSAN,MAXIMA,1N4BA41EX4C926844,ACCIDENT, ,
323,2604636,9511,2008,CHEVROLET,IMPALA,2G1WT58K989246608,ABANDONED, ,PREMIUM
324,2496700,4586,1997,FORD,ECONOLINE,1FTFE2423VHA43632,OTHER, ,
325,2610791,9793,1994,FORD,RANGER,1FTCR10A6RPA08495,ILLEGALLY PARKED, ,
327,2609878,9748,1999,CHEVROLET,S-10 PICK-UP,1GCCS1941X8182791,ACCIDENT, ,
328,2614004,9989,2004,CHEVROLET,IMPALA,2G1WP521349226921,ACCIDENT,K,
329,2611388,9827,2010,TOYOTA,CAMRY,4T4BF3EK1AR027383,ACCIDENT, ,
330,2614596,10010,1996,GMC,SIERRA,1GTEK19R9TE511558,ARREST,K,
331,2615286,10047,2001,FORD,EXPLORER,1FMZU73E11ZA36848,ILLEGALLY PARKED, ,
333,2614702,10021,2005,GMC,YUKON,1GKEK63U25J267146,ACCIDENT,K,
335,2612308,9868,1996,TOYOTA,CAMRY,4T1BF12K9TU129715,ACCIDENT, ,
